nota,0,1,All
0.0,14,1,15
0.15,1,1,2
0.25,1,0,1
0.35,1,0,1
0.38,0,1,1
0.4,2,2,4
0.45,1,0,1
0.5,2,5,7
0.55,0,1,1
0.56,1,1,2
0.6,3,1,4
0.62,1,1,2
0.65,4,3,7
0.69,1,2,3
0.7,5,2,7
0.75,6,9,15
0.8,2,7,9
0.85,4,6,10
0.88,0,11,11
0.9,4,4,8
0.95,1,10,11
1.0,6,16,22
All,60,84,144
