nota,0,1,All
0.0,15,0,15
0.15,1,1,2
0.25,1,0,1
0.35,1,0,1
0.38,1,0,1
0.4,4,0,4
0.45,1,0,1
0.5,6,1,7
0.55,1,0,1
0.56,1,1,2
0.6,3,1,4
0.62,1,1,2
0.65,7,0,7
0.69,3,0,3
0.7,6,1,7
0.75,15,0,15
0.8,6,3,9
0.85,8,2,10
0.88,10,1,11
0.9,7,1,8
0.95,10,1,11
1.0,17,5,22
All,125,19,144
