nota,0,1,All
0.0,15,0,15
0.15,1,1,2
0.25,1,0,1
0.35,1,0,1
0.38,1,0,1
0.4,4,0,4
0.45,1,0,1
0.5,4,3,7
0.55,1,0,1
0.56,1,1,2
0.6,4,0,4
0.62,2,0,2
0.65,6,1,7
0.69,3,0,3
0.7,4,3,7
0.75,11,4,15
0.8,8,1,9
0.85,10,0,10
0.88,8,3,11
0.9,8,0,8
0.95,9,2,11
1.0,11,11,22
All,114,30,144
